+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|                 TRACE_ID                 |                PARENT_ID                 |                 SPAN_ID                  |               DESCRIPTION                |                 DURATION                 |
+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
| -8436591879646988130                     | 477902                                   | 3765788891998966767                      | Enabling trace                           | 8588                                     |
| -8436591879646988130                     | 3765788891998966767                      | 4020701719462124670                      | Creating basic query for [CLIENT 1-CHUNK PARALLEL 1-WAY FULL SCAN OVER PRICES,     SERVER FILTER BY HIGH = '132.61',     SERVER AGGREGATE INTO SINGLE ROW] | 66                                       |
| -8436591879646988130                     | 4020701719462124670                      | -7635144770131487544                     | Creating basic query for [CLIENT 1-CHUNK PARALLEL 1-WAY RANGE SCAN OVER SYSTEM.CATALOG [null,null,'PRICES',not null],     SERVER FILTER BY COLUMN_FAMILY IS NULL] | 31                                       |
| -8436591879646988130                     | -7635144770131487544                     | -4452162569469750434                     | Parallel scanner for table: SYSTEM.CATALOG | 21                                       |
| -8436591879646988130                     | -4452162569469750434                     | 2862531070294144873                      | hconnection-0x5c1a8622-shared--pool2-t92 | 9                                        |
| -8436591879646988130                     | -4452162569469750434                     | -4837681757679453151                     | hconnection-0x5c1a8622-shared--pool2-t93 | 1                                        |
| -8436591879646988130                     | -4452162569469750434                     | 1348783640605221367                      | hconnection-0x5c1a8622-shared--pool2-t94 | 1                                        |
| -8436591879646988130                     | 4020701719462124670                      | 1483291173202076367                      | Parallel scanner for table: PRICES       | 27                                       |
| -8436591879646988130                     | 1483291173202076367                      | -8620149738414860507                     | hconnection-0x5c1a8622-shared--pool2-t95 | 0                                        |
| -8436591879646988130                     | 1483291173202076367                      | -3057669159744726239                     | hconnection-0x5c1a8622-shared--pool2-t96 | 0                                        |
| -8436591879646988130                     | 3765788891998966767                      | -2141877722741035559                     | Creating basic query for [CLIENT 1-CHUNK PARALLEL 1-WAY FULL SCAN OVER PRICES,     SERVER FILTER BY HIGH = '132.63',     SERVER AGGREGATE INTO SINGLE ROW] | 48                                       |
| -8436591879646988130                     | -2141877722741035559                     | -5278157739150802346                     | Creating basic query for [CLIENT 1-CHUNK PARALLEL 1-WAY RANGE SCAN OVER SYSTEM.CATALOG [null,null,'PRICES',not null],     SERVER FILTER BY COLUMN_FAMILY IS NULL] | 10                                       |
| -8436591879646988130                     | -5278157739150802346                     | -2310201452004075233                     | Parallel scanner for table: SYSTEM.CATALOG | 3                                        |
| -8436591879646988130                     | -2310201452004075233                     | -4548497748536554937                     | hconnection-0x5c1a8622-shared--pool2-t99 | 1                                        |
| -8436591879646988130                     | -2310201452004075233                     | -267020973087933600                      | hconnection-0x5c1a8622-shared--pool2-t100 | 0                                        |
| -8436591879646988130                     | -2310201452004075233                     | 620864410774905273                       | hconnection-0x5c1a8622-shared--pool2-t101 | 0                                        |
| -8436591879646988130                     | -2141877722741035559                     | 7137900293928958162                      | Parallel scanner for table: PRICES       | 29                                       |
| -8436591879646988130                     | 7137900293928958162                      | 3738180980813614578                      | hconnection-0x5c1a8622-shared--pool2-t102 | 0                                        |
| -8436591879646988130                     | 7137900293928958162                      | 4425435374931868978                      | hconnection-0x5c1a8622-shared--pool2-t103 | 0                                        |
+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
